Ashkenazy,9058
Bacha,9166
Barbosa,9174
Biret,9062
Blet,9103
Blumental,9102
Brailowsky,9060
Chiu,9048
Clidat,9067
Cohen,9105
Cortot,9066
Csalog,1263
Ezaki,9139
Falvay,9068
Ferenczy,9097
Fliere,9063
Fou,9071
Francois,9070
Hatto,610003
Hatto,9073
Indjic,9050
Kushner,9118
Lilamand,9186
Luisada,9055
Lushtak,9088
Magaloff,9074
Magin,9138
Meguri,9137
Milkina,9099
Mohovich,9104
Ohlsson,9153
Osinska,9101
Poblocka,9093
Rangell,9094
Rosen,52932
Rubinstein(1939),9049
Rubinstein(1952),9075
Rubinstein(1966),9059
Schilhawsky,9129
Schoonderwoerd,9150
Shebanova,9072
Smith,9054
Sztompka,9170
Uninsky,9085
Uninsky,9061
Vardi,9173
Wasowski,9111
Fiorentino,9065
Grinberg,9112
Guller,9176
Kapell,9090
Kiepura,9098
Levy,915406
Sofronitsky,9114
Neighaus,9119
Czerny-Stefanska,9086
Fiorentino,7991
Francois,9051
Friedman,9148
Friedman,5667230
Iturbi,918719
Koczalski,9143
Malcuzynski,918904
Moravec,51495
Olejniczac,9100
Vasary,9053
Block,9064
Fou,9092
Niedzielski,610001
Beliavsky,9152
Boshniakovich,9127
Goldenweiser,917509
Gornostaeva,9116
Kempff,917518
Perahia,54293
Coop,9158
Andsnes,917803
Blechacz,9077
Brunhoff,9167
Farrell,918805
Magaloff,5667267
Olejniczak,9087
Simon,917807
Afanassiev,9130
Zak,918713
Ben-Or,9161
Casadesus,9180
Coop,9159
Gieseking,917802
Ginzburg,9156
Goldmann,917811
Horowitz,59340
Horowitz,50534
Kilenyi,9164
Kissin,9056
Kitain,9163
Lear,9181
Lefebure,917801
Lympany,9160
Nadelmann,9165
Poumlntinen,917812
Paderewski,5667274
Paderewski,918901
Paderewski,9193
Perlemuter,9089
Risler,9132
Rummel,54851
Szpilman,9147
Tanyel,917813
Weissenberg,9052
Zecchi,915402
Zecchi,919405
Cortot,9107
Janis,9185
Katin,9126
Korecka-Soszkowska,9128
Nezu,9081
Richter,918722
Romaniuk,9115
Tsujii,9078
Zimerman,6100021
Ax,9179
Horszowski,9131
Richter,915410
Jonas,9096
Rosenthal,9057j
Backhaus,918919
Backhaus,9162
Freire,5667229
Friedman,9125
Horowitz,5667249
Horszowski,918820
Pachmann,9057h
Rosenthal,9183
Turczynski,9145
Ashkenazy,50848
Korecka-Soszkowska,9122
Malikova,9123
Bunin,9124
Michelangeli,5667269
Sofronitsky,5667291
Sofronitsky,9113
Michelangeli,918726
Bruchollerie,915411
Michelangeli,9057f
Renard,918802
Laforet,pid6100022-07
Laforet,pid6100022-08
Laforet,pid6100022-09
Laforet,pid6100022-10
Lee,9080
Lim D.M.,9133
Sukasiewicz,9084
Cherkassky,5667217
Fou,59359
Friedman,9108
Rubinstein(1932),198
Cherkassky,9155
Pachmann,9109
Gruenfeld,9168
Koczalski,9191
Rosenthal,9184
Askenase,917520
Raubo,9120
Sofronitsky,915405
Gierzod,9121
Moravec,5667271
Smidowicz,9142
Frideman,pid9091-08
Bilinska,9134
Koczalski,9144
Niedzielski,919401
Wojtas,9117
Cohen,9069
Fleisher,510262
Janis,pid917525-03
Lipatti,52013
Paperno,91881
Blechacz,9076
Landowska,918801
Horowitz,53576
Lear,9182
Anderszewski,58917
Argerich,5667203
Ashkenazy,918821
Lim D.H.,918824
Poblocka,pid6100022-04
Poblocka,pid6100022-05
Poblocka,pid6100022-06
Son,pid6100022-01
Son,pid6100022-02
Son,pid6100022-03
Pogorelich,918807
Pogorelich,9169
Woodward,9157
Yamamoto,9079
Zawadzki,9149
Ashkenazy,5667207
Paderewski,918903
Paderewski,918902
Long,915401
Paderewski,pid9091-02
Tomsic,9190
Badura-Skoda,915412
Michalowski,9083
Pachmann,9110
Rabcewiczowa,pid9091-15
Rubinstein,pid9091-20
Rosenthal,pid9091-12
Michalowski,pid9091-03
Smidowicz,pid9091-17
Rachmaninoff,9095
Richter,9172
Rosenthal,9141
Janis,5667250
Rubinstein,5667285
Smidowicz,9082
Solomon,9136
Malcuzynski,pid9091-22
Solomon,918712
Koczalski,9140
Czerny-Stefanska,9192
Janis,917525
